hotel_name,location,price,rating,score,review,link
"Treebo Premium Dona Eliza, 700 Meters From Calangute Beach",Calangute,"₹ 2,878",Good,7.7,170 reviews,https://www.booking.com/hotel/in/treebo-trend-dona-eliza.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=483137201_400592792_2_1_0_316504&highlighted_blocks=483137201_400592792_2_1_0_316504&matching_block_id=483137201_400592792_2_1_0_316504&sr_pri_blocks=483137201_400592792_2_1_0_316504_287760&from=searchresults
Fairfield by Marriott Goa Benaulim,Benaulim,"₹ 10,000",Excellent,8.7,868 reviews,https://www.booking.com/hotel/in/fairfield-by-marriott-goa-benaulim.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=752648301_424176582_0_42_0&highlighted_blocks=752648301_424176582_0_42_0&matching_block_id=752648301_424176582_0_42_0&sr_pri_blocks=752648301_424176582_0_42_0__1000000&nad_id=904753f6-b74c-4a1c-992a-48c601f989c9_2&nad_cpc=0.64&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NzA4NzQ0MjUwMzYsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiRmM5allqWVBHV3FQdGFESWxMbGdNTUhsM3lHTU5RM05uRUs3Ry9BNzJ4UE4yYzd6bTg1cjBiSHB5QjdOK25RNWJDQWhwazZ3eG9Lc0ZqdENJTFVrbytJbCtOakYxRXhwbzVLMkYrb1pqOFNxaVdubUR6VDZrT0NXWk9pdVJvZmhwT0JVMzhadFZBQURzRlVhSGZmZCt5TEt3VTJDNm9SUy8yVDVzK2M5eVdQZWlUNnBISXE4dEN1QzJPcm1zUEs4NEQ1NWQ3OUFRT1NnOGVBd1BFeTZtOFRONlZCcG5ncGJoUHl0emFOZU5NRXpwU1orNkJ6eWFBNkIrWG9oUFpWTFFYS2xlUTVSd3drN0t6K3FqbkNEbjIvM21zNTZoNllOY2tFS1JMVS9adGg0WnFjSlhpOVNSVTNySVFaZThTVTlxcjNweWFOSkJZL3gvOWZNRUFodnMzZ2NFR3JHL212MngyZ3lpelFMbHYwZWIrczRnaVVweTZkTWJmcmczKzBBZlByUi85Qld3V0FZcWVXcTFNYmFuLzB3Q3dNM002bzZxVXk3aHgyeUdWM2ZoR21rNlZsUTVhbDNGcmtqdGhLeFdsQ1RqSnVnek5QOTVTdzFHUy9RNUdyTVFQSG92YnNQSkVPTUFRbWUrRUtxQTBRUkkxU2FRUEE2U2M0MWdzWkd0aE5hN2VKZlJBdTc2MUQ0amRYTGN1M3Z3S3hJZmhLNmYxRnZrZ0JGTXlrTWdQMEJ3R2ZDbXlyNWIxQWtGRVlGYTl5aW1KYlFGNVNhVXJNd3hVWHl4Z1lFaWNwYSs1SW14TVQwd2Ixb09jS0VpTkR5MWFWckpKQStDVThMekc1dURYU3F4V2RrMlhYdGJiVHZ0T1AwVW5iTVBBUjc1bmVQd1JqNUtwd1lJRk1XWGkwWlBRb0FieGpQenc1Q1VyTlJSczl6MVV4aTU1K2tJakFsWGpXUWg1TENubUR2ZjVxUHFYRzVVNXlqY3RvU3QzcmI3WmJxWXkvUEhoMmcxNGVWU3NYcEJKYWFwYU1FNlhpR25WSVB4bkZVVVc4YnNkMnMrenpTSHpBU3hYR3BHckE1cFRXd1ZJakFENkIxZS9sNG14L09SYUp4M0w0R3B3eTU2VS9EWlloWmxreG03VFowODY1c3FUYUdlVFdhRkN5TWVpVUhwMGhCUTNLdFkrSkcwSnRkRWdlbFB2RThoejgzeFkvUU9yKzBjcUhCWkpzQXdIbkRPNlFQNkhXUEhOTy9WN3pmc0poWHltN2ZpRHI4WFd6ZFpJelZZcVFuTlg1MDgxbG9STGZDSnhlMzREcFB1NDdkYVlyMWJYenhoN0plU25ZWkh2RnF0bituRGU5Qzk1RXc3U1d5Mnk3SWo1STJ0cnJNbGFpbWh5TEFIYzQ2Z05WZi9WeXVjempVTSsxZGljVm5pTDZ1YjFEd1hKbXQySmc4VzVuOEF2UXVpOHBVRE56eVJkSS9WMTdoVjVpYlZ4djl3cVdtSlRWYlNYL2tINnRoVEp2KzMzS0VoaEM4UmREd1NxalJhUURvOUxub2d4VHNuTlVtb25FV0NBdml1SUVGalNMRTlURzkyM2JlZ2huamJsQ05YOVNzRGdIK3dEbHpSeWV1Qnk0NC8vZVpWaVBhK3c1YSsxeGk5blNiMGo3U2tqZjZKcWJDbkFDdk9jMmVSREcrNFEzY1VGMHNKTlJNT2pZQ2ZON3BZRDBkZk5hZWZOUWgvUm1oYzFhZjBETTFLRDdteVV1UWhxek0rRE13ZWlqNHNvOEdOSEgyeUg4UENpWDh4dlVKekgxT1lldno1VzExVGZObnVuR0g4dytSb0ZhQW55c0ErZU95QlJ5OWh2MEIrTXRxajVUR1poVTR4ZFFnTE5TOW5vOXlNYWZlc0dzVUxaVVpzN0hPcUYxak81NUpJdHNIYVNmdWhkWEdtZTM4a1ZOWjRyZWF2Nktza0l5Y1FsT3N3cW0vOFdlQjNacFhzLzJjaHZGOWxkSTlVdytKeThyLzlKSHRPbTI2MUJpdG10Wm4zQ0k9In0%3D&nad_placement=SR_MAIN&from=searchresults
Ginger Goa Candolim,Candolim,"₹ 4,099",Very Good,8.0,377 reviews,https://www.booking.com/hotel/in/ginger-goa-candolim.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1313742303_404416798_2_42_0&highlighted_blocks=1313742303_404416798_2_42_0&matching_block_id=1313742303_404416798_2_42_0&sr_pri_blocks=1313742303_404416798_2_42_0__409900&from=searchresults
Treebo Sunshine Beach Resort,Calangute,"₹ 1,921",Review score,6.9,52 reviews,https://www.booking.com/hotel/in/sunshine-resort-goa.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1106834305_428636914_2_0_0_1230179&highlighted_blocks=1106834305_428636914_2_0_0_1230179&matching_block_id=1106834305_428636914_2_0_0_1230179&sr_pri_blocks=1106834305_428636914_2_0_0_1230179_192104&from=searchresults
The Goa Beach Resort - Best Selling Property in Goa,Calangute,"₹ 2,250",Good,7.1,157 reviews,https://www.booking.com/hotel/in/the-brandon-gate.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1361257201_423606370_2_2_0&highlighted_blocks=1361257201_423606370_2_2_0&matching_block_id=1361257201_423606370_2_2_0&sr_pri_blocks=1361257201_423606370_2_2_0__225000&from=searchresults
Casa Euphoria Apartments,Calangute,"₹ 1,151",Review score,6.5,159 reviews,https://www.booking.com/hotel/in/casa-euphoria-apartments.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1305060203_403359761_2_0_0&highlighted_blocks=1305060203_403359761_2_0_0&matching_block_id=1305060203_403359761_2_0_0&sr_pri_blocks=1305060203_403359761_2_0_0__115128&from=searchresults
FabHotel Prime The King's Court - Nr Calangute Beach,Calangute,"₹ 2,694",Review score,6.3,119 reviews,https://www.booking.com/hotel/in/fabhotel-king-39-s-court.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=237796406_410205623_2_42_0_907500&highlighted_blocks=237796406_410205623_2_42_0_907500&matching_block_id=237796406_410205623_2_42_0_907500&sr_pri_blocks=237796406_410205623_2_42_0_907500_269369&from=searchresults
Rosa Bella Resort,Calangute,"₹ 1,658",Very Good,8.3,42 reviews,https://www.booking.com/hotel/in/calangute-turista-calangute12.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=786350004_427277623_2_0_0&highlighted_blocks=786350004_427277623_2_0_0&matching_block_id=786350004_427277623_2_0_0&sr_pri_blocks=786350004_427277623_2_0_0__165800&from=searchresults
Resort de alcazar,Calangute,"₹ 1,805",Review score,5.4,26 reviews,https://www.booking.com/hotel/in/resort-de-alcazar-calangute.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1461826101_417488069_2_1_0&highlighted_blocks=1461826101_417488069_2_1_0&matching_block_id=1461826101_417488069_2_1_0&sr_pri_blocks=1461826101_417488069_2_1_0__180533&from=searchresults
Treebo Clarissa Resort Goa,Saligao,"₹ 2,053",Good,7.0,21 reviews,https://www.booking.com/hotel/in/clarissa-resort-goa.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=812409504_419001619_2_1_0_1348208&highlighted_blocks=812409504_419001619_2_1_0_1348208&matching_block_id=812409504_419001619_2_1_0_1348208&sr_pri_blocks=812409504_419001619_2_1_0_1348208_205335&from=searchresults
De Amour - A Dreamy Getaway in Anjuna,Anjuna,"₹ 2,579",Good,7.7,23 reviews,https://www.booking.com/hotel/in/de-amour-anjuna1.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=776838702_394737653_2_0_0&highlighted_blocks=776838702_394737653_2_0_0&matching_block_id=776838702_394737653_2_0_0&sr_pri_blocks=776838702_394737653_2_0_0__257940&from=searchresults
Treebo Gulmohar Beach Resort with Pool,Calangute,"₹ 2,520",Review score,6.4,81 reviews,https://www.booking.com/hotel/in/gulmohar-beach-resort-and-cottages-calangute.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=846538303_400592849_2_0_0_135876&highlighted_blocks=846538303_400592849_2_0_0_135876&matching_block_id=846538303_400592849_2_0_0_135876&sr_pri_blocks=846538303_400592849_2_0_0_135876_252044&from=searchresults
FabHotel Luminous Beach Resort - Nr Morjim Beach,Morjim,"₹ 1,362",Review score,5.8,14 reviews,https://www.booking.com/hotel/in/elysian-heaven.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1376545602_412831348_0_2_0&highlighted_blocks=1376545602_412831348_0_2_0&matching_block_id=1376545602_412831348_0_2_0&sr_pri_blocks=1376545602_412831348_0_2_0__136200&from=searchresults
